Contador	Anterior	Actual	Intervalo	X_acc	Y_acc	Z_acc
81;	8779;	8857;	78;	-0.36;	-1.19;	9.43
82;	8857;	8935;	78;	-0.34;	-1.21;	9.43
83;	8935;	9014;	79;	-0.36;	-1.21;	9.46
84;	9014;	9094;	80;	-0.35;	-1.20;	9.47
85;	9094;	9174;	80;	-0.35;	-1.20;	9.42
86;	9174;	9253;	79;	-0.34;	-1.18;	9.43
87;	9253;	9333;	80;	-0.34;	-1.21;	9.43
88;	9333;	9425;	92;	-0.36;	-1.20;	9.45
89;	9425;	9504;	79;	-0.34;	-1.20;	9.42
90;	9504;	9593;	89;	-0.34;	-1.20;	9.43
91;	9593;	9673;	80;	-0.34;	-1.18;	9.45
92;	9673;	9751;	78;	-0.35;	-1.18;	9.40
93;	9751;	9829;	78;	-0.35;	-1.18;	9.44
94;	9829;	9907;	78;	-0.34;	-1.20;	9.42
95;	9907;	9987;	80;	-0.36;	-1.20;	9.43
96;	9987;	10067;	80;	-0.33;	-1.20;	9.43
97;	10067;	10164;	97;	-0.35;	-1.20;	9.44
98;	10164;	10243;	79;	-0.36;	-1.20;	9.46
99;	10243;	10321;	78;	-0.37;	-1.17;	9.42
100;	10321;	10399;	78;	-0.35;	-1.19;	9.42
101;	10399;	10479;	80;	-0.34;	-1.20;	9.42
102;	10479;	10558;	79;	-0.33;	-1.20;	9.43
103;	10558;	10646;	88;	-0.34;	-1.20;	9.44
104;	10646;	10725;	79;	-0.33;	-1.21;	9.46
105;	10725;	10814;	89;	-0.35;	-1.20;	9.44
106;	10814;	10891;	77;	-0.35;	-1.21;	9.46
107;	10891;	10970;	79;	-0.34;	-1.21;	9.44
108;	10970;	11050;	80;	-0.35;	-1.21;	9.45
109;	11050;	11130;	80;	-0.36;	-1.19;	9.46
110;	11130;	11209;	79;	-0.34;	-1.19;	9.44
111;	11209;	11290;	81;	-0.34;	-1.22;	9.45
112;	11290;	11371;	81;	-0.34;	-1.20;	9.42
113;	11371;	11469;	98;	-0.33;	-1.19;	9.44
114;	11469;	11548;	79;	-0.34;	-1.19;	9.44
115;	11548;	11634;	86;	-0.35;	-1.19;	9.43
116;	11634;	11713;	79;	-0.34;	-1.19;	9.43
117;	11713;	11793;	80;	-0.33;	-1.19;	9.45
118;	11793;	11873;	80;	-0.33;	-1.19;	9.43
119;	11873;	11953;	80;	-0.35;	-1.22;	9.46
120;	11953;	12033;	80;	-0.35;	-1.20;	9.42
121;	12033;	12111;	78;	-0.35;	-1.22;	9.43
122;	12111;	12202;	91;	-0.35;	-1.19;	9.46
123;	12202;	12282;	80;	-0.36;	-1.17;	9.43
124;	12282;	12360;	78;	-0.34;	-1.20;	9.42
125;	12360;	12438;	78;	-0.29;	-1.13;	9.39
126;	12438;	12517;	79;	-0.36;	-1.18;	9.42
127;	12517;	12604;	87;	-0.34;	-1.21;	9.44
128;	12604;	12684;	80;	-0.39;	-1.26;	9.45
129;	12684;	12762;	78;	-0.30;	-1.19;	9.40
130;	12762;	12857;	95;	-0.14;	-1.13;	9.46
131;	12857;	12937;	80;	-0.03;	-1.26;	9.45
132;	12937;	13015;	78;	4.19;	-2.50;	9.55
133;	13015;	13095;	80;	2.78;	-0.52;	7.13
134;	13095;	13173;	78;	-1.14;	-0.82;	10.04
135;	13173;	13251;	78;	-4.70;	-1.70;	9.34
136;	13251;	13329;	78;	-5.33;	-0.74;	9.92
137;	13329;	13409;	80;	-6.51;	-1.24;	9.52
138;	13409;	13489;	80;	-3.93;	-0.98;	7.99
139;	13489;	13603;	114;	1.01;	-1.95;	8.16
140;	13603;	13681;	78;	9.08;	-1.40;	9.81
141;	13681;	13760;	79;	7.53;	-0.24;	9.42
142;	13760;	13840;	80;	3.29;	-0.54;	10.41
143;	13840;	13917;	77;	-3.55;	-0.67;	11.51
144;	13917;	13996;	79;	-5.30;	-1.10;	8.70
145;	13996;	14073;	77;	-8.69;	-3.21;	9.45
146;	14073;	14168;	95;	-6.21;	-1.46;	9.73
147;	14168;	14247;	79;	-3.65;	-1.26;	8.21
148;	14247;	14324;	77;	0.34;	-0.30;	8.36
149;	14324;	14403;	79;	8.47;	-0.60;	9.15
150;	14403;	14481;	78;	7.23;	-1.46;	9.40
151;	14481;	14570;	89;	5.35;	0.01;	9.99
152;	14570;	14650;	80;	-0.29;	-0.67;	8.00
153;	14650;	14727;	77;	-5.49;	-0.37;	8.66
154;	14727;	14805;	78;	-9.08;	-2.23;	10.05
155;	14805;	14883;	78;	-7.10;	-1.70;	10.94
156;	14883;	14963;	80;	-3.96;	-1.85;	9.84
157;	14963;	15055;	92;	-1.83;	0.50;	4.68
158;	15055;	15133;	78;	5.61;	-5.99;	4.89
159;	15133;	15214;	81;	10.63;	-0.23;	9.35
160;	15214;	15294;	80;	7.26;	0.45;	9.21
161;	15294;	15371;	77;	4.37;	0.95;	9.45
162;	15371;	15449;	78;	-0.85;	1.45;	7.48
163;	15449;	15585;	136;	-9.31;	-3.42;	10.73
164;	15585;	15665;	80;	-9.56;	-3.62;	10.79
165;	15665;	15746;	81;	-4.75;	-1.29;	9.46
166;	15746;	15824;	78;	-1.30;	-0.45;	7.83
167;	15824;	15904;	80;	7.71;	-2.83;	10.99
168;	15904;	15982;	78;	10.02;	-0.99;	9.09
169;	15982;	16060;	78;	7.56;	-0.69;	9.92
170;	16060;	16138;	78;	5.17;	-1.24;	11.65
171;	16138;	16218;	80;	0.60;	0.31;	9.32
172;	16218;	16298;	80;	-9.47;	-3.96;	8.72
173;	16298;	16376;	78;	-10.37;	-1.58;	9.05
174;	16376;	16468;	92;	-10.33;	-2.36;	10.36
175;	16468;	16556;	88;	-2.97;	0.45;	6.82
176;	16556;	16634;	78;	3.48;	-0.89;	7.92
177;	16634;	16712;	78;	8.51;	-0.26;	9.77
178;	16712;	16790;	78;	9.16;	-1.19;	9.93
179;	16790;	16888;	98;	4.55;	0.40;	9.81
180;	16888;	16968;	80;	-1.55;	-0.13;	9.16
181;	16968;	17048;	80;	-5.63;	-1.33;	5.71
182;	17048;	17125;	77;	-8.70;	-2.50;	9.87
183;	17125;	17203;	78;	-8.94;	-2.35;	9.07
184;	17203;	17281;	78;	-3.59;	-1.67;	10.69
185;	17281;	17361;	80;	-2.40;	-0.99;	7.68
186;	17361;	17439;	78;	5.36;	0.26;	10.19
187;	17439;	17526;	87;	8.75;	-0.22;	8.15
188;	17526;	17604;	78;	10.17;	-1.29;	9.58
189;	17604;	17682;	78;	4.60;	-1.58;	9.69
190;	17682;	17762;	80;	-1.89;	1.94;	9.99
191;	17762;	17851;	89;	-7.28;	-2.37;	11.53
192;	17851;	17928;	77;	-9.55;	-1.35;	9.73
193;	17928;	18006;	78;	-9.76;	-2.32;	9.08
194;	18006;	18084;	78;	-2.82;	-0.03;	9.54
195;	18084;	18164;	80;	4.21;	0.47;	10.76
196;	18164;	18259;	95;	6.18;	-2.05;	9.62
197;	18259;	18337;	78;	2.71;	-1.44;	9.34
198;	18337;	18416;	79;	0.27;	-1.38;	9.47
199;	18416;	18502;	86;	0.21;	-1.69;	9.66
200;	18502;	18579;	77;	0.48;	-5.27;	9.60
201;	18579;	18657;	78;	1.15;	-4.03;	6.93
202;	18657;	18734;	77;	0.53;	-2.18;	8.11
203;	18734;	18814;	80;	0.99;	6.20;	9.91
204;	18814;	18892;	78;	-2.00;	2.38;	9.54
205;	18892;	18970;	78;	0.56;	3.91;	10.76
206;	18970;	19048;	78;	-0.28;	-1.25;	12.70
207;	19048;	19128;	80;	1.36;	-6.69;	7.10
208;	19128;	19208;	80;	-0.33;	-7.87;	9.25
209;	19208;	19297;	89;	-0.36;	-3.07;	11.14
210;	19297;	19378;	81;	0.72;	-1.70;	13.71
211;	19378;	19467;	89;	0.02;	6.30;	9.55
212;	19467;	19562;	95;	-1.34;	8.61;	9.86
213;	19562;	19640;	78;	-1.57;	4.02;	11.94
214;	19640;	19720;	80;	0.65;	-5.68;	8.41
215;	19720;	19798;	78;	-0.81;	-10.97;	9.95
216;	19798;	19878;	80;	1.08;	-10.81;	8.21
217;	19878;	19958;	80;	-0.92;	-3.19;	14.20
218;	19958;	20036;	78;	-0.56;	3.23;	7.70
219;	20036;	20114;	78;	-0.74;	7.14;	6.86
220;	20114;	20192;	78;	-2.82;	6.90;	9.29
221;	20192;	20272;	80;	0.90;	3.97;	10.54
222;	20272;	20350;	78;	-1.01;	0.18;	4.72
223;	20350;	20439;	89;	-0.59;	-8.69;	8.12
224;	20439;	20518;	79;	1.17;	-10.03;	9.29
225;	20518;	20596;	78;	-0.52;	-5.54;	7.29
226;	20596;	20686;	90;	-0.86;	-0.19;	11.75
227;	20686;	20764;	78;	-1.28;	7.06;	10.09
228;	20764;	20842;	78;	1.45;	0.79;	9.10
229;	20842;	20941;	99;	0.39;	6.35;	7.79
230;	20941;	21021;	80;	-0.87;	-2.86;	11.73
231;	21021;	21099;	78;	1.47;	-7.71;	7.70
232;	21099;	21177;	78;	-0.49;	-9.37;	8.87
233;	21177;	21256;	79;	1.10;	-6.96;	9.89
234;	21256;	21336;	80;	-0.26;	-2.64;	4.61
235;	21336;	21424;	88;	-2.73;	10.40;	7.28
236;	21424;	21501;	77;	-1.84;	3.81;	9.25
237;	21501;	21579;	78;	2.46;	6.70;	4.92
238;	21579;	21657;	78;	-1.17;	0.73;	10.25
239;	21657;	21737;	80;	-1.35;	-5.57;	10.79
240;	21737;	21817;	80;	0.12;	-9.02;	7.66
241;	21817;	21895;	78;	-0.94;	-10.71;	10.23
242;	21895;	21975;	80;	0.05;	-1.20;	8.26
243;	21975;	22064;	89;	-0.46;	9.32;	6.54
244;	22064;	22141;	77;	-0.03;	0.92;	9.60
245;	22141;	22237;	96;	-0.98;	5.36;	6.92
246;	22237;	22318;	81;	-0.46;	-3.24;	5.21
247;	22318;	22404;	86;	-0.40;	-10.55;	9.27
248;	22404;	22481;	77;	0.96;	-11.27;	9.50
249;	22481;	22559;	78;	-0.79;	-3.91;	13.87
250;	22559;	22639;	80;	-0.05;	0.89;	3.65
251;	22639;	22719;	80;	-1.82;	7.86;	8.50
252;	22719;	22797;	78;	-1.18;	2.75;	9.48
253;	22797;	22876;	79;	1.05;	4.97;	8.35
254;	22876;	22954;	78;	-1.12;	-0.27;	10.68
255;	22954;	23032;	78;	0.44;	-9.82;	9.29
256;	23032;	23110;	78;	0.40;	-12.94;	7.63
257;	23110;	23191;	81;	-0.65;	-5.97;	8.64
258;	23191;	23271;	80;	0.10;	0.45;	14.46
259;	23271;	23357;	86;	-1.41;	14.82;	10.67
260;	23357;	23446;	89;	-1.31;	8.52;	10.87
261;	23446;	23524;	78;	-0.33;	3.53;	6.48
262;	23524;	23618;	94;	-1.89;	-3.33;	6.18
263;	23618;	23695;	77;	0.07;	-12.00;	8.43
264;	23695;	23774;	79;	0.33;	-7.59;	12.65
265;	23774;	23851;	77;	-1.05;	-3.59;	6.97
266;	23851;	23930;	79;	-0.69;	3.12;	7.78
267;	23930;	24007;	77;	-1.18;	10.51;	8.30
268;	24007;	24086;	79;	-0.12;	6.94;	8.92
269;	24086;	24164;	78;	-0.08;	5.23;	8.45
270;	24164;	24245;	81;	-0.29;	-3.91;	2.83
271;	24245;	24334;	89;	0.16;	-11.86;	8.92
272;	24334;	24411;	77;	0.62;	-7.87;	9.68
273;	24411;	24488;	77;	0.16;	-2.43;	7.50
274;	24488;	24566;	78;	-3.40;	5.72;	8.47
275;	24566;	24647;	81;	-0.21;	6.53;	9.15
276;	24647;	24727;	80;	-0.05;	5.58;	9.31
277;	24727;	24805;	78;	-1.42;	4.74;	9.65
278;	24805;	24915;	110;	-0.51;	-6.12;	9.56
279;	24915;	24995;	80;	-1.28;	-8.24;	9.97
280;	24995;	25074;	79;	0.62;	-6.04;	11.26
281;	25074;	25152;	78;	-1.31;	-2.06;	10.45
282;	25152;	25230;	78;	-0.10;	5.79;	9.67
283;	25230;	25316;	86;	-1.24;	0.92;	9.39
284;	25316;	25395;	79;	0.97;	3.51;	8.06
285;	25395;	25473;	78;	-0.59;	0.68;	8.12
286;	25473;	25552;	79;	0.46;	-6.16;	12.60
287;	25552;	25631;	79;	-1.60;	-8.11;	8.80
288;	25631;	25709;	78;	-1.37;	-5.80;	10.71
289;	25709;	25790;	81;	1.42;	-3.10;	9.51
290;	25790;	25868;	78;	-2.06;	3.12;	9.69
291;	25868;	25947;	79;	-0.68;	6.12;	8.41
292;	25947;	26025;	78;	-1.88;	7.88;	9.73
293;	26025;	26103;	78;	0.05;	3.17;	9.62
294;	26103;	26182;	79;	0.05;	-3.60;	6.55
295;	26182;	26296;	114;	0.15;	-8.31;	9.79
296;	26296;	26374;	78;	-0.33;	-9.55;	9.02
297;	26374;	26453;	79;	-1.54;	-2.14;	9.33
298;	26453;	26533;	80;	0.07;	2.03;	7.68
299;	26533;	26611;	78;	-1.18;	9.15;	11.77
300;	26611;	26690;	79;	-3.08;	7.66;	9.86
301;	26690;	26767;	77;	0.77;	4.27;	7.54
302;	26767;	26846;	79;	-0.42;	-9.94;	15.01
303;	26846;	26924;	78;	-0.71;	-3.48;	9.52
304;	26924;	27005;	81;	-0.81;	-3.94;	10.49
305;	27005;	27085;	80;	0.85;	2.23;	10.23
306;	27085;	27163;	78;	-0.37;	-1.20;	9.26
307;	27163;	27264;	101;	-0.33;	-1.20;	9.45
308;	27264;	27344;	80;	0.19;	-1.13;	9.49
309;	27344;	27424;	80;	-0.33;	-1.33;	9.44
310;	27424;	27503;	79;	-0.48;	-1.19;	9.45
311;	27503;	27598;	95;	-0.32;	-1.25;	9.46
312;	27598;	27704;	106;	-0.34;	-1.22;	9.45
313;	27704;	27782;	78;	-0.33;	-1.23;	9.44
314;	27782;	27860;	78;	-0.32;	-1.26;	9.44
315;	27860;	27939;	79;	-0.32;	-1.26;	9.43
316;	27939;	28018;	79;	-0.33;	-1.25;	9.42
317;	28018;	28098;	80;	-0.33;	-1.24;	9.45
318;	28098;	28178;	80;	-0.31;	-1.19;	9.43
319;	28178;	28266;	88;	-0.33;	-1.23;	9.45
320;	28266;	28343;	77;	-0.33;	-1.25;	9.44
321;	28343;	28421;	78;	-0.27;	-1.25;	9.35
322;	28421;	28501;	80;	1.04;	-0.82;	9.40
323;	28501;	28578;	77;	-0.62;	-1.40;	9.69
324;	28578;	28656;	78;	0.90;	-2.33;	9.56
325;	28656;	28734;	78;	0.00;	-2.21;	11.07
326;	28734;	28813;	79;	-2.58;	-1.48;	9.39
327;	28813;	28892;	79;	-3.87;	-0.04;	10.16
328;	28892;	28987;	95;	-2.60;	0.55;	6.96
329;	28987;	29075;	88;	0.88;	-2.67;	12.87
330;	29075;	29154;	79;	0.56;	-0.25;	6.93
331;	29154;	29271;	117;	0.34;	-0.95;	7.74
332;	29271;	29351;	80;	-0.59;	-1.42;	9.37
333;	29351;	29429;	78;	-0.27;	-2.14;	11.38
334;	29429;	29507;	78;	-2.20;	-3.09;	13.51
335;	29507;	29585;	78;	0.21;	-0.94;	9.24
336;	29585;	29665;	80;	-0.09;	-1.27;	9.22
337;	29665;	29745;	80;	0.13;	-0.91;	9.45
338;	29745;	29823;	78;	-3.10;	-1.74;	15.80
339;	29823;	29903;	80;	0.22;	-2.30;	18.98
340;	29903;	29981;	78;	-0.12;	-0.29;	5.08
341;	29981;	30059;	78;	0.14;	-1.91;	0.38
342;	30059;	30137;	78;	0.49;	-3.03;	-2.30
343;	30137;	30225;	88;	-0.42;	-0.27;	5.42
344;	30225;	30322;	97;	0.72;	-2.24;	17.96
345;	30322;	30400;	78;	2.06;	-6.90;	27.10
346;	30400;	30490;	90;	-0.48;	-1.32;	18.89
347;	30490;	30569;	79;	-1.13;	-0.22;	8.30
348;	30569;	30649;	80;	0.23;	-2.79;	-1.47
349;	30649;	30727;	78;	0.33;	-3.14;	-3.13
350;	30727;	30808;	81;	-0.99;	-1.05;	3.14
351;	30808;	30886;	78;	-0.60;	0.46;	13.72
352;	30886;	30965;	79;	-0.11;	-0.87;	15.46
353;	30965;	31043;	78;	-0.13;	-1.70;	17.64
354;	31043;	31121;	78;	1.00;	0.01;	16.19
355;	31121;	31209;	88;	-0.13;	-0.64;	9.21
356;	31209;	31287;	78;	0.50;	-2.78;	-1.66
357;	31287;	31365;	78;	0.87;	-3.01;	-2.01
358;	31365;	31443;	78;	-0.95;	-0.73;	2.37
359;	31443;	31522;	79;	-1.60;	-0.12;	10.89
360;	31522;	31602;	80;	0.57;	-0.66;	16.95
361;	31602;	31698;	96;	0.16;	-2.57;	18.98
362;	31698;	31776;	78;	1.90;	-1.51;	16.52
363;	31776;	31854;	78;	-0.91;	-0.66;	9.20
364;	31854;	31942;	88;	0.67;	-1.99;	-0.70
365;	31942;	32023;	81;	1.33;	-2.66;	-3.03
366;	32023;	32112;	89;	0.04;	-0.29;	3.63
367;	32112;	32189;	77;	0.30;	-2.14;	11.25
368;	32189;	32267;	78;	-0.75;	-4.46;	17.07
369;	32267;	32345;	78;	-1.20;	-6.53;	13.63
370;	32345;	32425;	80;	11.44;	0.55;	3.31
371;	32425;	32505;	80;	0.37;	-1.89;	8.99
372;	32505;	32583;	78;	-0.54;	-1.19;	7.52
373;	32583;	32663;	80;	-0.32;	-0.90;	8.83
374;	32663;	32741;	78;	-1.10;	-2.52;	17.74
375;	32741;	32819;	78;	1.78;	-0.67;	22.99
376;	32819;	32897;	78;	0.01;	1.05;	6.44
377;	32897;	32994;	97;	-0.42;	-3.48;	-6.21
378;	32994;	33081;	87;	-0.99;	-0.80;	-5.49
379;	33081;	33159;	78;	-0.03;	0.71;	8.52
380;	33159;	33237;	78;	1.31;	-2.71;	21.24
381;	33237;	33328;	91;	1.96;	-4.07;	22.75
382;	33328;	33408;	80;	2.14;	0.31;	19.28
383;	33408;	33485;	77;	-0.90;	0.52;	6.74
384;	33485;	33563;	78;	-0.67;	-2.72;	-4.55
385;	33563;	33641;	78;	0.88;	-2.80;	-7.45
386;	33641;	33720;	79;	-0.39;	-0.18;	1.13
387;	33720;	33797;	77;	0.67;	-1.30;	13.42
388;	33797;	33876;	79;	-1.95;	-2.79;	20.02
389;	33876;	33954;	78;	1.53;	-4.07;	23.00
390;	33954;	34041;	87;	2.70;	-1.97;	17.88
391;	34041;	34121;	80;	0.21;	0.31;	6.61
392;	34121;	34199;	78;	-0.01;	-2.47;	-4.09
393;	34199;	34279;	80;	0.61;	-3.08;	-6.42
394;	34279;	34377;	98;	-0.48;	0.71;	4.10
395;	34377;	34455;	78;	-0.60;	-0.42;	17.02
396;	34455;	34534;	79;	0.13;	-4.27;	21.78
397;	34534;	34613;	79;	3.57;	-4.96;	19.88
398;	34613;	34702;	89;	-0.66;	-1.21;	17.01
399;	34702;	34783;	81;	0.12;	-0.02;	4.66
400;	34783;	34863;	80;	0.46;	-2.82;	-5.17
401;	34863;	34941;	78;	0.56;	-2.46;	-4.80
402;	34941;	35028;	87;	-0.67;	0.57;	1.73
403;	35028;	35106;	78;	-1.85;	-2.50;	16.40
404;	35106;	35186;	80;	-0.81;	-5.48;	19.91
405;	35186;	35266;	80;	3.99;	-4.34;	21.99
406;	35266;	35344;	78;	2.02;	-1.23;	20.31
407;	35344;	35425;	81;	0.62;	0.56;	11.29
408;	35425;	35503;	78;	-1.55;	-1.31;	-2.77
409;	35503;	35582;	79;	1.43;	-4.50;	-8.68
410;	35582;	35677;	95;	0.46;	-0.67;	-3.36
411;	35677;	35755;	78;	-0.25;	0.74;	13.28
412;	35755;	35835;	80;	-0.56;	-5.25;	23.55
413;	35835;	35915;	80;	1.89;	-6.13;	22.94
414;	35915;	36001;	86;	2.49;	-3.65;	22.18
415;	36001;	36091;	90;	0.26;	-0.60;	9.07
416;	36091;	36169;	78;	-1.08;	-0.73;	0.35
417;	36169;	36247;	78;	-0.07;	-3.34;	-7.57
418;	36247;	36328;	81;	0.01;	-2.18;	-4.38
419;	36328;	36406;	78;	0.09;	0.70;	3.96
420;	36406;	36485;	79;	-1.63;	0.90;	14.74
421;	36485;	36563;	78;	0.23;	-5.14;	22.70
422;	36563;	36642;	79;	2.54;	-5.76;	23.14
423;	36642;	36721;	79;	1.53;	-2.35;	21.12
424;	36721;	36799;	78;	-0.90;	2.74;	5.27
425;	36799;	36880;	81;	-0.85;	-1.54;	-5.71
426;	36880;	36966;	86;	0.13;	-2.25;	-6.80
427;	36966;	37061;	95;	0.40;	1.28;	2.86
428;	37061;	37142;	81;	-1.57;	0.45;	16.51
429;	37142;	37222;	80;	-2.84;	-5.24;	23.24
430;	37222;	37300;	78;	2.28;	-5.96;	21.66
431;	37300;	37380;	80;	2.30;	-2.08;	19.71
432;	37380;	37457;	77;	-1.56;	1.13;	9.54
433;	37457;	37546;	89;	-0.29;	-1.66;	-3.21
434;	37546;	37625;	79;	-0.25;	-2.80;	-6.22
435;	37625;	37703;	78;	0.41;	0.24;	-0.62
436;	37703;	37784;	81;	-0.24;	2.33;	12.44
437;	37784;	37862;	78;	-1.52;	0.27;	22.98
438;	37862;	37950;	88;	-0.26;	-0.27;	15.12
439;	37950;	38027;	77;	-0.46;	0.30;	10.70
440;	38027;	38105;	78;	0.09;	0.92;	8.56
441;	38105;	38185;	80;	-0.01;	0.86;	8.17
442;	38185;	38263;	78;	0.50;	0.23;	8.68
443;	38263;	38360;	97;	0.33;	-0.21;	9.38
444;	38360;	38438;	78;	0.43;	-0.24;	9.83
445;	38438;	38516;	78;	0.45;	-0.69;	9.70
446;	38516;	38597;	81;	0.49;	-1.09;	10.11
447;	38597;	38677;	80;	-0.48;	-0.01;	10.50
448;	38677;	38755;	78;	0.04;	1.53;	8.20
449;	38755;	38834;	79;	0.42;	2.23;	11.11
450;	38834;	38930;	96;	0.44;	1.81;	8.82
451;	38930;	39007;	77;	-1.31;	1.33;	9.16
452;	39007;	39087;	80;	-1.33;	1.57;	8.11
453;	39087;	39165;	78;	-1.12;	1.67;	8.41
454;	39165;	39243;	78;	-3.46;	2.52;	7.20
455;	39243;	39321;	78;	-3.07;	2.02;	8.43
456;	39321;	39401;	80;	-3.43;	3.21;	5.24
457;	39401;	39481;	80;	-3.38;	5.07;	6.41
458;	39481;	39558;	77;	-5.28;	4.05;	6.98
459;	39558;	39637;	79;	-3.84;	3.62;	8.22
460;	39637;	39732;	95;	-1.51;	4.85;	-0.31
461;	39732;	39809;	77;	-1.34;	7.31;	-3.05
462;	39809;	39896;	87;	-2.38;	6.29;	-9.32
463;	39896;	39974;	78;	-0.46;	3.54;	-6.44
464;	39974;	40053;	79;	2.70;	0.87;	-10.29
465;	40053;	40133;	80;	1.79;	0.09;	-11.97
466;	40133;	40211;	78;	2.86;	-4.15;	-6.00
467;	40211;	40301;	90;	0.80;	-4.43;	-9.93
468;	40301;	40380;	79;	0.74;	-1.07;	-9.62
469;	40380;	40458;	78;	0.14;	-3.05;	-9.41
470;	40458;	40536;	78;	0.05;	-2.37;	-9.45
